	"Taxon removed"	"Mean RF"	"Mean PD"
	"Fluvioviri"	"6"	"17.5166481891865"
	"Masillapod"	"6"	"20"
	"Podargus_s"	"6"	"20"
	"Batrachost"	"6"	"20.8806130178211"
	"Steatornis"	"6.66666666666667"	"17.3031834517093"
	"Prefica_ni"	"0"	"0"
	"Protocypse"	"4"	"19.6468827043885"
	"Caprimulgu"	"2"	"7.07106781186548"
	"Nyctibius_"	"2"	"7.07106781186548"
	"Paraprefic"	"2"	"7.07106781186548"
	"Aegotheles"	"6"	"20"
	"Eo_rowei"	"4"	"13.2664991614216"
	"Eo_vincent"	"2"	"7.07106781186548"
	"Hemiprocne"	"15.3333333333333"	"43.2046238674182"
	"Sca_wardi"	"7.5"	"21.8424026901377"
	"Sca_szarsk"	"4"	"15.2315462117278"
	"Streptopro"	"8"	"20.6355260781237"
	"Chaetura_p"	"7"	"14.8170345042803"
	"Hirundapus"	"2"	"13.490737563232"
	"Apus_apus"	"4"	"18.9208879284245"
	"Aerodramus"	"4"	"15.2315462117278"
	"Parargorni"	"8.66666666666667"	"28.6481053346103"
	"Argornis_c"	"4"	"15.2315462117278"
	"Jungornis_"	"6"	"20.1990098767242"
	"Eurotrochi"	"2"	"8.48528137423857"
	"Archilochu"	"4"	"12.6491106406735"
	"Amazilia_t"	"6"	"20.1990098767242"
	"NA"	"NA"	"NA"
