			" A 200 journal subsample (out of 1082 total) of journals from these subject catergories in Thomson Reuters JCR: ANATOMY & MORPHOLOGY; BEHAVIORAL SCIENCES; BIOCHEMISTRY & MOLECULAR BIOLOGY; BIODIVERSITY CONSERVATION; BIOLOGY; ECOLOGY; ENTOMOLOGY; EVOLUTIONARY BIOLOGY; PALEONTOLOGY; PARASITOLOGY; PLANT SCIENCES; VIROLOGY; ZOOLOGY"					
		"Journal Name"	"ISSN"	"Number of articles in a year"		"median number of articles per year per journal"	"mean number of articles"	"total number of articles"
		"ADV INSECT PHYSIOL"	"0065-2806"	5		57	84.47	16894
		"ADV STUD BEHAV"	"0065-3454"	7				
		"B AM MUS NAT HIST"	"0003-0090"	8				
		"ARTHROPOD SYST PHYLO"	"1863-7221"	10				
		"AFR J HERPETOL"	"2156-4574"	11				
		"ALPINE BOT"	"1664-2201"	11				
		"ANN CARNEGIE MUS"	"0097-4463"	11				
		"ANN PALEONTOL"	"0753-3969"	12				
		"AVIAN CONSERV ECOL"	"1712-6568"	12				
		"BIOCELL"	"0327-9545"	13				
		"AFR J RANGE FOR SCI"	"1022-0119"	14				
		"BLUMEA"	"0006-5196"	14				
		"CARNETS GEOL"	"1634-0744"	14				
		"ANTHROPOL SCI"	"0918-7960"	16				
		"AFR ZOOL"	"1562-7020"	17				
		"AMEGHINIANA"	"0002-7014"	17				
		"AN JARDIN BOT MADRID"	"0211-1322"	18				
		"BOT REV"	"0006-8101"	19				
		"BOTHALIA"	"0006-8241"	19				
		"CALIF FISH GAME"	"0008-1078"	19				
		"AM FERN J"	"0002-8444"	20				
		"ANN SOC ENTOMOL FR"	"0037-9271"	20				
		"ANNU REV ECOL EVOL S"	"1543-592X"	21				
		"BRADLEYA"	"0265-086X"	21				
		"ANNU REV ENTOMOL"	"0066-4170"	22				
		"ANNU REV PHYTOPATHOL"	"0066-4286"	23				
		"ACTA ZOOL ACAD SCI H"	"1217-8837"	24				
		"AUST SYST BOT"	"1030-1887"	24				
		"CARIBB J SCI"	"0008-6452"	24				
		"ACTA BOT CROAT"	"0365-0588"	25				
		"ANNU REV PLANT BIOL"	"1543-5008"	27				
		"CHEMOECOLOGY"	"0937-7409"	27				
		"ADANSONIA"	"1280-8571"	28				
		"AQUAT INSECT"	"0165-0424"	28				
		"ACTA ETHOL"	"0873-9749"	29				
		"COGN BEHAV NEUROL"	"1543-3633"	29				
		"ACTA BIOL CRACOV BOT"	"0001-5296"	30				
		"BIOL DIRECT"	"1745-6150"	30				
		"CLADISTICS"	"0748-3007"	30				
		"COMMUNITY ECOL"	"1585-8553"	30				
		"AM MUS NOVIT"	"0003-0082"	31				
		"ANAT SCI INT"	"1447-6959"	31				
		"CANDOLLEA"	"0373-2967"	31				
		"CASTANEA"	"0008-7475"	31				
		"AM MALACOL BULL"	"0740-2783"	32				
		"AUST J ENTOMOL"	"1326-6756"	32				
		"ACTA BOT MEX"	"0187-7151"	33				
		"ACTA HERPETOL"	"1827-9635"	33				
		"COMPOST SCI UTIL"	"1065-657X"	33				
		"COMPUT BIOL CHEM"	"1476-9271"	33				
		"ADV VIRUS RES"	"0065-3527"	34				
		"ANIM BIOL"	"1570-7555"	34				
		"ANN ZOOL FENN"	"0003-455X"	34				
		"BOL INST PESCA"	"0046-9939"	34				
		"BOT SCI"	"2007-4298"	34				
		"AUST J ZOOL"	"0004-959X"	35				
		"ACTA ICHTHYOL PISCAT"	"0137-1592"	37				
		"AFR INVERTEBR"	"1681-5556"	37				
		"ACTA VIROL"	"0001-723X"	38				
		"APPL ECOL ENV RES"	"1589-1623"	38				
		"AUTISM RES"	"1939-3792"	38				
		"ACTA BOT GALLICA"	"1253-8078"	39				
		"BRAZ J BOT"	"1806-9959"	39				
		"ASIAN HERPETOL RES"	"2095-0357"	40				
		"BRAIN BEHAV EVOLUT"	"0006-8977"	40				
		"ACTA ZOOL-STOCKHOLM"	"0001-7272"	41				
		"ANIM BIODIV CONSERV"	"1578-665X"	41				
		"AQUAT MAMM"	"0167-5427"	41				
		"CHELONIAN CONSERV BI"	"1071-8443"	41				
