"PLOS"	"Zootaxa"	"BMC"
19635	4958	41469
19635	4998	41492
19904	5566	46115
19904	5700	48558
19943	6032	48822
19943	6355	50150
20294	6360	50277
20294	6458	50646
20511	7199	50949
20511	7355	51018
21046	7930	51104
21046	7951	51130
21214	8031	51179
21214	8963	51320
21970	9837	51670
21970	9855	51883
22160	9870	53147
22160	9991	53296
22741	10032	53423
22741	10066	53624
23030	10068	53638
23030	10259	53786
23322	10311	54792
23322	10380	55021
23349	10380	55049
23349	10436	55260
23409	10507	55863
23847	10547	56121
23847	10576	56559
24148	10584	56595
24148	10592	56778
24375	10621	56945
24375	10629	57013
24391	10684	57232
24931	10729	57311
24931	10738	57500
24979	10748	57857
24979	10777	57988
25134	10781	58124
25134	10850	58573
25262	10985	58582
25262	10988	58642
25361	11016	58865
25361	11054	59064
25365	11097	59265
25365	11108	59485
25391	11126	59518
25469	11209	59629
25469	11242	60095
25719	11267	60142
25719	11283	60316
25871	11287	60521
25871	11297	60591
25929	11357	60677
25929	11367	61155
26533	11419	61889
26533	11433	61970
26721	11446	62117
26721	11475	62190
26721	11482	62267
26721	11497	63090
26741	11512	63478
26741	11521	63549
26983	11530	65024
26983	11643	66169
27156	11683	67335
27156	11760	67656
27156	11796	67769
27156	11940	68338
27749	12002	68559
27749	12040	68680
28039	12132	68783
28039	12145	69139
28082	12167	69707
28082	12620	70755
28082	12669	70990
28082	12858	71803
28099	13064	72604
28099	13103	72825
28312	13546	73668
28312	13604	74287
28388	13722	74964
28621	13754	75428
28621	14000	75469
28727	14035	76047
28727	14084	77138
28919	14113	77780
28919	14123	78002
29134	14227	78037
29366	14313	78885
29366	14440	79071
29486	14449	80087
29486	14631	80823
29698	14699	81303
29698	14730	81586
29812	14791	81942
29812	14796	83703
29812	14905	84255
29812	15109	84542
29845	15313	84776
29845	15436	85582
30382	15438	86479
30382	15575	87185
30534	15640	88128
30796	15661	88872
30796	15678	89074
30852	15698	89135
30900	15707	89657
30900	15747	91449
30993	15826	92115
30993	15848	93024
31152	15911	93254
31152	15932	96064
31756	16004	97279
31756	16009	97851
31821	16047	99601
31821	16071	99807
31993	16116	100699
32017	16208	100795
32017	16281	101338
32646	16284	102735
32646	16286	103400
32753	16360	103949
32753	16430	105651
32753	16459	107908
32753	16610	108069
32785	16706	108244
32785	16721	108791
33302	16821	109788
33302	16906	110191
33366	16915	110471
33366	16981	111285
33688	17008	111984
33688	17062	112212
33688	17143	113464
33688	17232	115311
33821	17244	115467
33821	17248	116136
33821	17302	116280
33821	17330	116804
33965	17395	118503
34044	17472	119796
34044	17492	119828
34225	17593	120391
34225	17713	120462
34296	17754	121371
34296	17783	121489
34679	17854	121880
34679	17902	122666
34679	18021	123377
34679	18021	128073
34695	18027	128217
34830	18105	130016
34830	18119	130390
34932	18271	130676
34932	18374	130712
35357	18443	130811
35601	18487	131314
35601	18495	131752
35660	18508	131794
35660	18566	131805
35660	18606	131919
35660	18695	131977
35660	18747	132048
35660	18904	132256
35762	18974	132358
35762	18994	132560
35991	19020	132852
35992	19049	132865
35992	19098	133105
36040	19208	133144
36040	19583	133185
36132	19769	133201
36132	19905	133628
36132	19951	133945
36132	19955	134605
36150	20102	134632
36150	20225	134659
36151	20300	134683
36151	20556	134721
36151	20584	134745
36151	20688	134854
36569	20806	134872
36569	20811	134888
36569	20863	135117
36569	20986	135197
36569	21195	135309
36569	21198	135329
36569	21386	135684
36879	21412	135690
36879	21533	135738
36879	21580	135880
36879	21616	136019
36987	21636	136114
36987	21644	136227
37307	21728	136267
37307	21749	136384
37307	21827	136661
37307	21841	136746
37308	21870	136940
37308	21884	136996
37380	21927	136999
37380	22088	137001
37454	22099	137006
37454	22204	137274
37455	22543	137400
37455	22566	137701
37456	22571	137736
37456	22733	137755
37631	22795	137999
37631	23064	138044
37889	23113	138426
37965	23256	138828
37965	23268	138828
38300	23310	139006
38300	23572	139035
38302	23908	139100
38302	24066	139193
38915	24066	139223
38915	24093	139418
39098	24121	139480
39098	24210	139591
39102	24217	139994
39102	24460	140215
39531	24594	141367
39557	24729	141469
39572	24876	141608
39572	25152	141888
39859	25163	141985
39859	25189	142078
39891	25231	142318
39891	25384	142328
39894	25467	142805
39894	25473	143042
40053	25607	143627
40053	25850	144125
40053	25859	144424
40053	26022	144604
40566	26036	145100
40828	26110	145174
40828	26114	145610
40946	26622	145618
40946	26651	146051
41169	26656	146135
41169	26862	146459
41169	26887	146471
41169	26983	146862
41668	27001	146940
42083	27087	148853
42406	27149	149091
42406	27201	150122
42419	27234	150739
42448	27246	150862
42901	27321	151952
42969	27375	152144
42969	27961	152843
43055	27976	154376
43055	28043	155238
43055	28255	155520
43085	28309	156197
43230	28383	157797
43230	28427	159195
43230	28446	160270
43230	28717	160403
43511	28973	160816
43511	29109	161566
43511	29137	164174
43511	29142	164204
43785	29516	164283
43869	29537	164713
43869	29750	164982
44048	29761	166407
44216	29767	166647
44216	29967	166940
44233	30046	167594
44233	30219	167849
44233	30406	167935
44233	30421	168971
44233	30647	169000
44233	30659	169052
44234	30695	169285
44234	30702	169392
44234	30749	169656
44234	30932	169681
44235	31212	169981
44235	31336	170062
44387	31407	170336
44387	31477	170356
44603	31577	170431
44604	32010	170514
44645	32071	170654
44691	32214	170922
44832	32426	171114
44832	32483	171316
44832	32495	171891
44836	32610	171916
44836	32666	172268
44836	32668	172454
45066	32740	172474
45302	32747	172594
45302	32908	172639
45302	32991	173112
45302	33029	173204
45304	33135	173711
45304	33151	173872
45483	33208	173905
45539	33213	174212
45618	33358	174620
45651	33389	174664
45708	33433	174821
45807	33497	174892
45896	33499	174968
45977	33596	175074
46012	33638	175227
46096	33693	175478
46096	33773	175493
46384	33865	176065
46536	33891	176086
46546	34050	176508
46820	34269	177007
47485	34535	177339
47501	34828	177403
47530	34844	178128
47572	34883	179056
47590	34885	179088
47602	34975	179182
47901	35008	179286
47914	35020	179456
48071	35081	180090
48174	35132	180441
48252	35319	180540
48293	35329	180689
48293	35457	180851
48397	35950	181020
48522	36044	181052
48671	36120	181093
48671	36211	181538
48853	36272	181771
49086	36391	182026
49343	36438	183713
49475	36613	183739
49699	36625	184321
49900	36826	184755
49985	37154	184763
50087	37156	184951
50087	37382	185756
50207	37550	185821
50283	37619	186037
50370	37619	186192
50498	37625	186350
50590	37679	186634
50656	37682	186729
50780	37756	187313
50780	37810	187781
50858	37910	188004
50906	37924	188032
51075	38025	188195
51121	38157	188363
51264	38219	188938
51264	38253	189213
51430	38263	189306
51506	38285	189759
51506	38291	190040
51510	38612	190075
51510	39099	190252
51513	39134	190595
51513	39137	190607
51525	39282	190743
51529	39283	190948
51792	39411	191455
51820	39452	191745
51826	39499	191834
51862	39535	191916
51898	39583	191987
51978	39589	192127
52002	39861	192239
52040	39957	192470
52086	39957	192607
52088	40038	193083
52175	40047	193277
52333	40058	193501
52380	40266	194504
52409	40458	194540
52501	40509	195023
52529	40561	195321
52548	40813	195634
52585	40985	195657
52612	41154	195913
52617	41270	195973
52626	41291	196223
52627	41303	196272
52627	41334	198219
52651	41361	198731
52672	41410	198847
52746	41539	199462
52761	41592	199982
52794	41655	200136
52794	41660	200372
52812	41722	200711
52817	41794	200829
52849	41986	201029
52852	42067	201237
52873	42078	201449
52940	42240	201577
52988	42254	201771
52988	42386	202091
52995	42610	202350
53038	42677	202877
53089	42709	202961
53089	43112	203307
53089	43160	203464
53149	43401	203602
53215	43520	203688
53227	43547	203729
53227	43650	204149
53269	43864	204755
53299	43888	205219
