Journal,"Number of Articles containing phylogen* in WoK, 2000-2011 inclusive"
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,3589
MOLECULAR PHYLOGENETICS AND EVOLUTION,2791
MOLECULAR BIOLOGY AND EVOLUTION,1423
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1394
PLOS ONE,1204
ZOOTAXA,1114
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1111
BMC EVOLUTIONARY BIOLOGY,1055
MOLECULAR ECOLOGY,854
JOURNAL OF CLINICAL MICROBIOLOGY,803
JOURNAL OF MOLECULAR EVOLUTION,800
GENE,765
AMERICAN JOURNAL OF BOTANY,740
ARCHIVES OF VIROLOGY,728
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,600
JOURNAL OF GENERAL VIROLOGY,598
JOURNAL OF VIROLOGY,583
SYSTEMATIC BIOLOGY,574
EVOLUTION,573
MYCOLOGIA,571
SYSTEMATIC BOTANY,568
PLANT SYSTEMATICS AND EVOLUTION,550
ENVIRONMENTAL MICROBIOLOGY,549
JOURNAL OF MEDICAL VIROLOGY,541
TAXON,533
NUCLEIC ACIDS RESEARCH,492
BMC GENOMICS,486
MYCOLOGICAL RESEARCH,485
BIOINFORMATICS,464
VIRUS GENES,463
VIRUS RESEARCH,460
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,453
FEMS MICROBIOLOGY ECOLOGY,448
JOURNAL OF VERTEBRATE PALEONTOLOGY,432
JOURNAL OF PHYCOLOGY,405
JOURNAL OF BACTERIOLOGY,399
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,394
SYSTEMATIC AND APPLIED MICROBIOLOGY,387
FEMS MICROBIOLOGY LETTERS,380
JOURNAL OF BIOGEOGRAPHY,378
INTERNATIONAL JOURNAL OF PLANT SCIENCES,373
VETERINARY MICROBIOLOGY,373
VIROLOGY,370
AIDS RESEARCH AND HUMAN RETROVIRUSES,369
JOURNAL OF BIOLOGICAL CHEMISTRY,369
ZOOLOGICA SCRIPTA,357
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,354
BMC BIOINFORMATICS,337
JOURNAL OF EVOLUTIONARY BIOLOGY,329
NATURE,315
JOURNAL OF EUKARYOTIC MICROBIOLOGY,312
INFECTION GENETICS AND EVOLUTION,299
MICROBIAL ECOLOGY,296
SYSTEMATIC ENTOMOLOGY,293
JOURNAL OF MORPHOLOGY,285
JOURNAL OF PARASITOLOGY,285
ZOOLOGICAL SCIENCE,281
ANNALS OF BOTANY,275
PARASITOLOGY RESEARCH,267
GENOME RESEARCH,265
GENETICS,256
HYDROBIOLOGIA,256
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,250
MICROBIOLOGY SGM,248
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,245
PARASITOLOGY,238
VIROLOGY JOURNAL,231
INTERNATIONAL JOURNAL FOR PARASITOLOGY,225
GENOME,220
