Journal name,Online Publisher,Access,Number of articles in 2010 as found by Web of Knowledge in a search for phylogen*
SCIENCE ,AAAS,subscription,18
BOTANICAL STUDIES ,Academia Sinica,gratis,11
ZOOLOGICAL STUDIES ,Academia Sinica,gratis,13
AFRICAN JOURNAL OF BIOTECHNOLOGY ,Academic Journals,gratis,39
AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH ,Academic Journals,gratis,20
JOURNAL OF MEDICINAL PLANTS RESEARCH ,Academic Journals,gratis,6
BIOCHEMISTRY ,ACS,subscription,6
ENVIRONMENTAL SCIENCE TECHNOLOGY ,ACS,subscription,10
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY ,ACS,subscription,9
JOURNAL OF NATURAL PRODUCTS ,ACS,subscription,6
JOURNAL OF PROTEOME RESEARCH ,ACS,subscription,8
ACTA VIROLOGICA ,AEPress,hybrid,9
AVIAN DISEASES ,Allen Press,subscription,29
HERPETOLOGICA ,Allen Press,subscription,11
JOURNAL OF MAMMALOGY ,Allen Press,hybrid,25
JOURNAL OF PARASITOLOGY ,Allen Press,subscription,23
PHYCOLOGIA ,Allen Press,subscription,27
JOURNAL OF ARACHNOLOGY ,American Arachnological Society,2yr delayed gratis,9
AMERICAN MUSEUM NOVITATES ,AMNH,gratis,15
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY ,AMNH,gratis,11
ACTA PALAEONTOLOGICA POLONICA ,APP,gratis,14
MOLECULAR PLANT MICROBE INTERACTIONS ,APS journals,subscription,8
PHYTOPATHOLOGY ,APS journals,hybrid,18
PLANT DISEASE ,APS journals,subscription,15
COPEIA ,ASIH,subscription,10
SYSTEMATIC BOTANY ,ASPT publications,subscription,56
RECORDS OF THE AUSTRALIAN MUSEUM ,Australian Museum,gratis,9
BRYOLOGIST ,BioOne,subscription,15
JOURNAL OF HERPETOLOGY ,BioOne,subscription,6
MALACOLOGIA ,BioOne,subscription,6
NOVON ,BioOne,subscription,9
PALEONTOLOGICAL RESEARCH ,BioOne,subscription,5
ALGORITHMS FOR MOLECULAR BIOLOGY ,BMC,CC-by Open Access,13
BIOLOGY DIRECT ,BMC,CC-by Open Access,11
BMC BIOCHEMISTRY ,BMC,CC-by Open Access,6
BMC BIOINFORMATICS ,BMC,CC-by Open Access,54
BMC BIOLOGY ,BMC,CC-by Open Access,16
BMC EVOLUTIONARY BIOLOGY ,BMC,CC-by Open Access,216
BMC GENOMICS ,BMC,CC-by Open Access,88
BMC INFECTIOUS DISEASES ,BMC,CC-by Open Access,9
BMC MICROBIOLOGY ,BMC,CC-by Open Access,29
BMC PLANT BIOLOGY ,BMC,CC-by Open Access,44
FRONTIERS IN ZOOLOGY ,BMC,CC-by Open Access,7
GENOME BIOLOGY ,BMC,mostly CC-by Open Access,14
PARASITES VECTORS ,BMC,CC-by Open Access,7
RETROVIROLOGY ,BMC,CC-by Open Access,10
VIROLOGY JOURNAL ,BMC,CC-by Open Access,61
AMPHIBIA REPTILIA ,BRILL,subscription,11
CRUSTACEANA ,BRILL,subscription,5
INSECT SYSTEMATICS EVOLUTION ,BRILL,subscription,10
JOURNAL OF CRUSTACEAN BIOLOGY ,BRILL,subscription,9
NEMATOLOGY ,BRILL,subscription,21
SOCIOBIOLOGY ,California State University ,subscription,8
ANTARCTIC SCIENCE ,Cambridge Journals Online,subscription,5
BULLETIN OF ENTOMOLOGICAL RESEARCH ,Cambridge Journals Online,subscription,10
EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH ,Cambridge Journals Online,subscription,7
EPIDEMIOLOGY AND INFECTION ,Cambridge Journals Online,subscription,8
GEOLOGICAL MAGAZINE ,Cambridge Journals Online,subscription,5
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM ,Cambridge Journals Online,subscription,9
LICHENOLOGIST ,Cambridge Journals Online,subscription,19
